96 96 75 3
0.0667 0.0667 0.00 0.04 0.08 0.12 0.16 0.20 0.24 0.28 0.32 0.36 0.40 0.44 0.48 0.52 0.56 0.60 0.64 0.68 0.72 0.76 0.80 0.84 0.88 0.92 0.96 1.00 1.04 1.08 1.12 1.16 1.20 1.24 1.28 1.32 1.36 1.40 1.44 1.48 1.52 1.56 1.60 1.64 1.68 1.72 1.76 1.80 1.84 1.88 1.92 1.96 2.00 2.04 2.08 2.12 2.16 2.20 2.24 2.28 2.32 2.36 2.40 2.44 2.48 2.52 2.56 2.60 2.64 2.68 2.72 2.76 2.80 2.84 2.88 2.92 2.96 3.00
1 1 1  0.00000000000001 10
1 1 2  0.00000000000001 10
1 1 3  0.00000000000001 10
1 1 4  0.00000000000001 10
1 1 5  0.00000000000001 10
1 1 6  0.00000000000001 10
1 1 7  0.00000000000001 10
1 1 8  0.00000000000001 10
1 1 9  0.00000000000001 10
1 1 10  0.00000000000001 10
1 1 11  0.00000000000001 10
1 1 12  0.00000000000001 10
1 1 13  0.00000000000001 10
1 1 14  0.00000000000001 10
1 1 15  0.00000000000001 10
1 1 16  0.00000000000001 10
1 1 17  0.00000000000001 10
1 1 18  0.00000000000001 10
1 1 19  0.00000000000001 10
1 1 20  0.00000000000001 10
1 1 21  0.00000000000001 10
1 1 22  0.00000000000001 10
1 1 23  0.00000000000001 10
1 1 24  0.00000000000001 10
1 1 25  0.00000000000001 10
1 1 62  0.00000000000001 10
1 1 63  0.00000000000001 10
1 1 64  0.00000000000001 10
1 1 65  0.00000000000001 10
1 1 66  0.00000000000001 10
1 1 67  0.00000000000001 10
1 1 68  0.00000000000001 10
1 1 69  0.00000000000001 10
1 1 70  0.00000000000001 10
1 1 71  0.00000000000001 10
1 1 72  0.00000000000001 10
1 1 73  0.00000000000001 10
1 1 74  0.00000000000001 10
1 2 36 0.2112 7.05
1 2 37 0.3219 8.11
1 2 38 0.3908 8.65
1 2 39 0.3969 8.7
1 2 40 0.4126 8.81
1 2 41 0.4865 9.31
1 2 42 0.4842 9.29
1 3 36 0.0572 4.56
1 3 37 0.1859 6.75
1 3 38 0.3058 7.97
1 3 39 0.4074 8.77
1 3 40 0.4862 9.31
1 3 41 0.564 9.78
1 3 42 0.6083 10.03
1 3 43 0.5506 9.7
1 4 36 0.0793 5.09
1 4 37 0.1487 6.27
1 4 38 0.2319 7.27
1 4 39 0.364 8.45
1 4 40 0.4589 9.13
1 4 41 0.4996 9.39
1 4 42 0.5957 9.96
1 4 43 0.6269 10.13
1 5 39 0.0792 5.08
1 5 40 0.267 7.62
1 5 41 0.3216 8.11
1 5 42 0.2554 7.51
1 46 33 0.2015 6.94
1 46 34 0.3038 7.96
1 46 35 0.2381 7.34
1 46 36 0.0135 4
1 47 32 0.1109 5.69
1 47 33 0.3772 8.55
1 47 34 0.4749 9.23
1 47 35 0.5203 9.52
1 47 36 0.405 8.76
1 47 37 0.2014 6.94
1 48 32 0.0734 4.96
1 48 33 0.2026 6.95
1 48 34 0.327 8.15
1 48 35 0.4174 8.84
1 48 36 0.3637 8.45
1 48 37 0.1214 5.86
1 49 29 0.0799 5.1
1 49 30 0.1862 6.76
1 49 31 0.2508 7.46
1 49 32 0.3088 8
1 49 33 0.3695 8.49
1 49 34 0.4181 8.85
1 49 35 0.3885 8.64
1 49 36 0.2254 7.2
1 50 28 0.0555 4.51
1 50 29 0.1542 6.35
1 50 30 0.2562 7.52
1 50 31 0.3466 8.31
1 50 32 0.4132 8.82
1 50 33 0.4789 9.26
1 50 34 0.5377 9.62
1 50 35 0.529 9.57
1 50 36 0.4186 8.85
1 50 37 0.1758 6.63
1 51 28 0.0063 4
1 51 29 0.0828 5.16
1 51 30 0.1713 6.57
1 51 31 0.2626 7.58
1 51 32 0.3509 8.35
1 51 33 0.4492 9.06
1 51 34 0.5621 9.77
1 51 35 0.6838 10.43
1 51 36 0.7435 10.72
1 51 37 0.6319 10.16
1 51 38 0.2203 7.15
1 52 28 0.0449 4.21
1 52 29 0.1469 6.25
1 52 30 0.2399 7.35
1 52 31 0.329 8.17
1 52 32 0.4254 8.9
1 52 33 0.5297 9.58
1 52 34 0.6332 10.16
1 52 35 0.713 10.57
1 52 36 0.7483 10.75
1 52 37 0.7431 10.72
1 52 38 0.5122 9.47
1 53 28 0.0558 4.52
1 53 29 0.1423 6.18
1 53 30 0.205 6.98
1 53 31 0.2708 7.66
1 53 32 0.3594 8.42
1 53 33 0.4821 9.28
1 53 34 0.5794 9.87
1 53 35 0.6159 10.07
1 53 36 0.6047 10.01
1 53 37 0.4583 9.13
1 53 54 0.0036 4
1 53 55 0.1111 5.69
1 53 56 0.1511 6.3
1 54 28 0.0143 4
1 54 29 0.0637 4.73
1 54 30 0.0995 5.48
1 54 31 0.1881 6.78
1 54 32 0.2978 7.9
1 54 33 0.403 8.74
1 54 34 0.4359 8.97
1 54 35 0.3808 8.58
1 54 36 0.2993 7.92
1 54 56 0.068 4.83
1 55 28 0.0044 4
1 55 30 0.0647 4.75
1 55 31 0.2255 7.2
1 55 32 0.3446 8.3
1 55 33 0.391 8.65
1 55 34 0.3745 8.53
1 55 35 0.2917 7.85
1 55 36 0.0875 5.25
1 56 28 0.0019 4
1 56 29 0.0142 4
1 56 30 0.111 5.69
1 56 31 0.2335 7.29
