# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
#     z(km)      p(mb)        T(K)    air(cm-3)    o3(cm-3)     o2(cm-3)    h2o(cm-3)    co2(cm-3)     no2(cm-3)
  15.000 1.211000e+02 2.167000e+02 4.047595e+18 2.634525e+12 8.464500e+17 2.025000e+13 1.336500e+15 6.925500e+08
  14.000 1.417000e+02 2.167000e+02 4.736121e+18 2.383717e+12 9.904510e+17 2.808805e+13 1.563870e+15 3.544772e+08
  13.000 1.658000e+02 2.167000e+02 5.541629e+18 2.132992e+12 1.159114e+18 6.017410e+13 1.830180e+15 2.467970e+08
  12.000 1.940000e+02 2.167000e+02 6.484174e+18 2.008345e+12 1.356201e+18 1.236803e+14 2.141370e+15 2.044035e+08
  11.000 2.270000e+02 2.168000e+02 7.583652e+18 1.630876e+12 1.586101e+18 2.741906e+14 2.504370e+15 1.988318e+08
  10.000 2.650000e+02 2.233000e+02 8.595457e+18 1.129443e+12 1.797818e+18 6.017959e+14 2.838660e+15 2.047276e+08
   9.000 3.080000e+02 2.297000e+02 9.711841e+18 8.910379e+11 2.031271e+18 1.538518e+15 3.207270e+15 2.254808e+08
   8.000 3.565000e+02 2.362000e+02 1.093179e+19 6.526804e+11 2.286460e+18 4.011698e+15 3.610200e+15 2.516200e+08
   7.000 4.111000e+02 2.427000e+02 1.226845e+19 6.151052e+11 2.566520e+18 7.024160e+15 4.052400e+15 2.824400e+08
   6.900 4.172100e+02 2.433500e+02 1.241403e+19 6.100524e+11 2.596825e+18 7.592318e+15 4.100250e+15 2.857750e+08
   6.800 4.233200e+02 2.440000e+02 1.255962e+19 6.049997e+11 2.627130e+18 8.160476e+15 4.148100e+15 2.891100e+08
   6.700 4.294300e+02 2.446500e+02 1.270520e+19 5.999469e+11 2.657435e+18 8.728634e+15 4.195950e+15 2.924450e+08
   6.600 4.355400e+02 2.453000e+02 1.285079e+19 5.948942e+11 2.687740e+18 9.296792e+15 4.243800e+15 2.957800e+08
   6.500 4.416500e+02 2.459500e+02 1.299637e+19 5.898414e+11 2.718045e+18 9.864950e+15 4.291650e+15 2.991150e+08
